slug,name,region,district,category,gender
madina-technical-institute,Madina Technical Institute,Greater Accra,La Nkwantanang Madina,A,Mixed
armed-forces-senior-high-tech-kumasi,"Armed Forces Senior High/Tech, Kumasi",Ashanti,Kumasi Metro,B,Mixed
ofori-panin-senior-high,Ofori Panin Senior High,Eastern,Abuakwa North Municipal,A,Mixed
ada-tech-inst,Ada Tech. Inst.,Greater Accra,Ada East,A,Mixed
ebenezer-senior-high,Ebenezer Senior High,Greater Accra,Accra,C,Mixed
konongo-odumase-senior-high,Konongo Odumase Senior High .,Ashanti,Asante Akim Central Municipal,A,Mixed
ola-girls-senior-high-ho,"OLA Girls Senior High, Ho",Volta,Ho Municipal,A,Girls
st-john-s-grammar-senior-high,St. John's Grammar Senior High,Greater Accra,Ga North,B,Mixed
sunyani-senior-high,Sunyani Senior High,Bono,Sunyani,A,Mixed
tema-meth-day-senior-high,Tema Meth. Day Senior High,Greater Accra,Tema,C,Mixed
accra-stem-academy,Accra STEM Academy,Greater Accra,Ayawaso West,B,Mixed
asuansi-tech-inst,Asuansi Tech. Inst.,Central,Abura Asebu Kwamankese,A,Mixed
bolga-tech-inst,Bolga Tech. Inst.,Upper East,Bolgatanga Municipal,A,Mixed
kumasi-senior-high-tech,Kumasi Senior High/Tech,Ashanti,Kumasi Metro,C,Mixed
pentecost-senior-high-koforidua,"Pentecost Senior High,Koforidua",Eastern,New Juaben North Municipal,B,Mixed
presby-senior-high-tema,"Presby Senior High, Tema",Greater Accra,Tema,C,Mixed
st-paul-s-tech-inst,St. Paul's Tech. Inst.,Eastern,Abuakwa North Municipal,A,Mixed
tema-tech-inst,Tema Tech. Inst.,Greater Accra,Tema,A,Mixed
dabokpa-voc-tech-inst,Dabokpa Voc/Tech. Inst.,Northern,Tamale Metro,A,Mixed
la-presby-senior-high,La Presby Senior High,Greater Accra,La Dade-Kotopon Municipal,C,Mixed
methodist-girls-senior-high-mamfe,"Methodist Girls Senior High, Mamfe",Eastern,Akwapim North Municipal,B,Girls
adako-jachie-technical-institute,Adako Jachie Technical Institute,Ashanti,Ejisu Municipal,A,Mixed
adu-gyamfi-senior-high,Adu Gyamfi Senior High,Ashanti,Sekyere South,C,Mixed
anglican-senior-high-kumasi,"Anglican Senior High, Kumasi",Ashanti,Kumasi Metro,B,Mixed
effiduase-technical-institute,Effiduase Technical Institute,Eastern,New Juaben North Municipal,C,Mixed
koforidua-gratis-technical-institute,Koforidua GRATIS Technical Institute,Eastern,New Juaben South Municipal,C,Mixed
kwegyir-aggrey-senior-high,Kwegyir Aggrey Senior High,Central,Mfantseman Municipal,C,Mixed
pope-john-snr-high-min-sem-koforidua,"Pope John Snr. High & Min. Sem., Koforidua",Eastern,New Juaben North Municipal,A,Boys
st-john-s-senior-high-sekondi,"St. John's Senior High, Sekondi",Western,Sekondi Takoradi,A,Boys
takoradi-tech-inst,Takoradi Tech. Inst.,Western,Effia Kwesimintsim Municipal,A,Mixed
abiriw-presby-technical-institute,Abiriw Presby Technical Institute,Eastern,Okere,C,Mixed
ada-senior-high-tech,Ada Senior High/Tech.,Greater Accra,Ada West,C,Mixed
agogo-state-college,Agogo State College,Ashanti,Asante Akim North,C,Mixed
agric-nzema-senior-high-kumasi,"Agric Nzema Senior High, Kumasi",Ashanti,Kwadaso,C,Mixed
anlo-tech-inst,Anlo Tech. Inst.,Volta,Anloga,A,Mixed
awaso-stem-senior-high,Awaso STEM Senior High,Western North,Bibiani Anhwiaso Bekwai,A,Mixed
christian-methodist-senior-high,Christian Methodist Senior High,Greater Accra,Ga South,C,Mixed
holy-trinity-senior-high,Holy Trinity Senior High,Greater Accra,Accra,C,Mixed
kpasenpke-stem-senior-high,Kpasenpke STEM Senior High,North East,West Mamprusi,A,Mixed
krobo-girls-senior-high,Krobo Girls' Presby Senior High,Eastern,Lower Manya Krobo,A,Girls
kumasi-academy,Kumasi Academy,Ashanti,Asokore Mampong Municipal,B,Mixed
navrongo-senior-high,Navrongo Senior High,Upper East,Kasena-Nankani East,A,Mixed
notre-dame-girls-senior-high-sunyani,"Notre Dame Girls Senior High School, Sunyani",Bono,Sunyani West,A,Girls
o-reilly-senior-high,O'Reilly Senior High,Greater Accra,Ledzokuku,C,Mixed
our-lady-of-providence-senior-high,Our Lady of Providence Senior High,Bono,Jaman South,A,Girls
pentecost-senior-high-kumasi,"Pentecost Senior High, Kumasi",Ashanti,Kumasi Metro,C,Mixed
presby-senior-high-teshie,"Presby Senior High, Teshie",Greater Accra,Ledzokuku,C,Mixed
sekondi-college,Sekondi College,Western,Sekondi Takoradi,A,Mixed
abrafi-senior-high,Abrafi Senior High,Bono East,Techiman North,C,Mixed
adeiso-presby-senior-high,Adeiso Presby Senior High,Eastern,Upper West Akim Municipal,C,Mixed
akwatia-tech-inst,Akwatia Tech. Inst.,Eastern,Denkyembour,A,Mixed
ashiaman-senior-high,Ashiaman Senior High,Greater Accra,Ashiaman,C,Mixed
assin-foso-technical-institute,Assin Foso Technical Institute,Central,Assin North,A,Mixed
bolgatanga-senior-high,Bolgatanga Senior High,Upper East,Talensi,A,Mixed
bosomtwe-girls-stem-senior-high,Bosomtwe Girls STEM Senior High,Ashanti,Bosomtwe,A,Girls
chemu-senior-high-tech,Chemu Senior High/Tech,Greater Accra,Tema,B,Mixed
ghanata-senior-high,Ghanata Senior High,Greater Accra,Shai-Osudoku,B,Mixed
government-technical-institute,Government Technical Institute,Greater Accra,Okaikwei South,B,Mixed
kibi-technical-institute,Kibi Technical Institute,Eastern,Abuakwa South Municipal,A,Mixed
kikam-tech-inst,Kikam Tech. Inst.,Western,Ellembele,A,Mixed
kumasi-wesley-girls-high-sch,Kumasi Wesley Girls High Sch,Ashanti,Kumasi Metro,B,Girls
kwabenya-comm-senior-high,Kwabenya Comm. Senior High,Greater Accra,Ga East,C,Mixed
nkoranza-tech-inst,Nkoranza Tech Inst.,Bono East,Nkoranza South,A,Mixed
notre-dame-sem-senior-high-navrongo,"Notre Dame Sem/ Senior High, Navrongo",Upper East,Kasena-Nankani East,A,Boys
obuasi-senior-high-tech,Obuasi Senior High/Tech,Ashanti,Obuasi,C,Mixed
presby-girls-senior-high-school,Presby Girls Senior High School,Ashanti,Asokwa,C,Girls
presby-senior-high-mampong-akwapim,"Presby Senior High, Mampong Akwapim",Eastern,Akwapim North Municipal,C,Mixed
presby-senior-high-suhum,"Presby Senior High, Suhum",Eastern,Suhum,C,Mixed
serwaa-kesse-girls-senior-high,Serwaa Kesse Girls Senior High,Ahafo,Tano North,A,Girls
suame-technical-institute,Suame Technical Institute,Ashanti,Suame,A,Mixed
takoradi-senior-high,Takoradi Senior High,Western,Effia Kwesimintsim Municipal,C,Mixed
tema-mission-technical-institute,Tema Mission Technical Institute,Greater Accra,Tema,A,Mixed
wesley-grammar-senior-high,Wesley Grammar School,Greater Accra,Ablekuma North,B,Mixed
winneba-technical-institute,Winneba Technical Institute,Central,Effutu,A,Mixed
abura-technical-institute,Abura Technical Institute,Western,Ahanta West,C,Mixed
academy-of-christ-the-king-cape-coast,Academy of Christ the King,Central,Cape Coast,B,Mixed
adjen-kotoku-senior-high,Adjen Kotoku Senior High,Greater Accra,Ga West,C,Mixed
agona-swedru-technical-institute,Agona Swedru Technical Institute,Central,Agona West,B,Mixed
agona-technical-institute,Agona Technical Institute,Ashanti,Sekyere South,B,Mixed
akuse-methodist-senior-high-tech,Akuse Methodist Senior High/Tech,Eastern,Lower Manya Krobo,C,Mixed
amasaman-senior-high-tech,Amasaman Senior High/Tech,Greater Accra,Ga West,C,Mixed
assin-state-college,Assin State College,Central,Assin North,C,Mixed
awutu-bawjiase-comm-senior-high,Awutu Bawjiase Comm. Senior High School,Central,Awutu Senya East,C,Mixed
biriwa-technical-institute,Biriwa Technical Institute,Central,Mfantseman Municipal,A,Mixed
bishop-herman-college,Bishop Herman College,Volta,Kpando Municipal,A,Boys
business-senior-high-tamale,"Business Senior High, Tamale",Northern,Tamale Metro,C,Mixed
dormaa-technical-institute,Dormaa Technical Institute,Bono,Dormaa Central,A,Mixed
east-legon-applied-technology-institute,East Legon Applied Technology Institute,Greater Accra,Accra,A,Mixed
fiaseman-senior-high,Fiaseman Senior High,Western,Tarkwa-Nsuaem,C,Mixed
ghana-stem-technical-school,Ghana Stem Technical School,Ashanti,Bosomtwe,C,Mixed
keta-senior-high-tech,Keta Senior High/Tech .,Volta,Keta Municipal,B,Mixed
kinbu-senior-high-tech,Kinbu Senior High/Tech,Greater Accra,Korle Klottey,C,Mixed
komenda-senior-high-tech,Komenda Senior High/Tech.,Central,Komenda/Edina/Eguafo/Abirem Municipal,C,Mixed
kumasi-girls-senior-high,"Kumasi Girls Senior High,",Ashanti,Kumasi Metro,B,Girls
mankessim-senior-high-tech,Mankessim Senior High/Tech,Central,Mfantseman Municipal,C,Mixed
nandom-senior-high,Nandom Senior High,Upper West,Nandom,A,Boys
ola-girls-senior-high-kenyasi,"OLA Girls Senior High, Kenyasi",Ahafo,Asutifi North,A,Girls
opportunities-industrialization-tech-inst,Opportunities Industrialization Tech. Inst.,Greater Accra,Ayawaso West,C,Mixed
osei-tutu-senior-high-akropong,"Osei Tutu Senior High, Akropong",Ashanti,Atwima Nwabiagya,B,Boys
panfokrom-technical-institute,Panfokrom Technical Institute,Central,Gomoa East,A,Mixed
presby-senior-high-osu,"Presby Senior High, Osu",Greater Accra,Korle Klottey,C,Mixed
presby-senior-high-tamale,"Presby Senior High, Tamale",Northern,Tamale Metro,C,Mixed
presby-senior-high-tech-aburi,"Presby Senior High/Tech, Aburi",Eastern,Akwapim South,C,Mixed
st-mary-s-boys-senior-high-apowa,"St. Mary's Boys' Senior High, Apowa",Western,Ahanta West,B,Boys
st-mary-s-girl-s-senior-high-konongo,"St. Mary's Girl's Senior High, Konongo",Ashanti,Asante Akim Central Municipal,B,Girls
st-monica-s-senior-high-mampong,"St. Monica's Senior High, Mampong",Ashanti,Mampong,B,Girls
suhum-senior-high-tech,Suhum Senior High/Tech,Eastern,Suhum,B,Mixed
tamale-technical-institute,Tamale Technical Institute,Northern,Sagnerigu Municipal,C,Mixed
tarkwa-senior-high,Tarkwa Senior High,Western,Tarkwa-Nsuaem,B,Mixed
techiman-technical-institute,Techiman Technical Institute,Bono East,Techiman,C,Mixed
tema-manhean-senior-high-tech,Tema Manhean Senior High/Tech,Greater Accra,Tema,C,Mixed
wa-tech-inst,Wa Tech. Inst.,Upper West,Wa Municipal,A,Mixed
west-africa-senior-high,West Africa Senior High,Greater Accra,La Nkwantanang Madina,B,Mixed
abeaseman-comm-day-senior-high,Abeaseman Comm. Day Senior High,Bono East,Pru,C,Mixed
abetifi-presby-senior-high,Abetifi Presby Senior High,Eastern,Kwahu East,B,Mixed
abor-senior-high,Abor Senior High,Volta,Anlo Keta,C,Mixed
abuakwa-state-college,Abuakwa State College,Eastern,Abuakwa South Municipal,B,Mixed
aburaman-senior-high,Aburaman Senior High,Central,Abura Asebu Kwamankese,C,Mixed
acherensua-senior-high,Acherensua Senior High,Ahafo,Asutifi South,B,Mixed
achiase-senior-high,Achiase Senior High,Eastern,Achiase,B,Mixed
achiase-technical-institute,Achiase Technical Institute,Ashanti,Juaben Municipal,C,Mixed
achinakrom-senior-high,Achinakrom Senior High,Ashanti,Ejisu Municipal,C,Mixed
ada-senior-high,Ada Senior High,Greater Accra,Ada East,B,Mixed
adabokrom-comm-shs,Adabokrom Comm. SHS,Western North,Bia East,C,Mixed
adaklu-senior-high,Adaklu Senior High,Volta,Adaklu,C,Mixed
adidome-senior-high,Adidome Senior High,Volta,Central Tongu,C,Mixed
adonten-senior-high,Adonten Senior High,Eastern,Akwapim South,B,Mixed
adventist-girls-senior-high-ntonso,"Adventist Girls Senior High, Ntonso",Ashanti,Kwabre East,C,Girls
afoako-technical-institute,Afoako Technical Institute,Ashanti,Amansie Central,C,Mixed
afua-kobi-ampem-girls-senior-high,Afua Kobi Ampem Girls' Senior High,Ashanti,Atwima Kwanwoma,B,Girls
agona-fankobaa-senior-high,Agona Fankobaa Senior High,Central,Agona West,C,Mixed
agona-namonwora-comm-senior-high,Agona Namonwora Comm.Senior High,Central,Agona East,C,Mixed
agona-senior-high-tech,Agona Senior High/Tech,Ashanti,Sekyere South,B,Mixed
ahafoman-senior-high-tech,Ahafoman Senior High/Tech,Ahafo,Asunafo North,B,Mixed
ahantaman-girls-senior-high,Ahantaman Girls' Senior High,Western,Shama,B,Girls
akokoaso-senior-high-tech,Akokoaso Senior High/Tech,Eastern,Akyemansa,C,Mixed
akrofufu-technical-institute,Akrofufu Technical Institute,Eastern,Atiwa West,C,Mixed
akuapem-technical-institute,Akuapem Technical Institute,Eastern,Akwapem South,C,Mixed
akyin-senior-high-school,Akyin Senior High School,Central,Ekumfi,C,Mixed
amaniampong-senior-high,Amaniampong Senior High,Ashanti,Mampong,C,Mixed
anfoega-senior-high,Anfoega Senior High,Volta,North Dayi,C,Mixed
anum-apapam-comm-day,Anum Apapam Comm. Day,Eastern,Ayensuano,C,Mixed
anum-presby-senior-high,Anum Presby Senior High,Eastern,Asuogyaman,C,Mixed
anum-presby-technical-institute,Anum Presby Technical Institute,Eastern,Asuogyaman,B,Mixed
apam-senior-high,Apam Senior High,Central,Gomoa West,B,Mixed
applied-technology-institute-anyinam,Applied Technology Institute - Anyinam,Eastern,Atiwa East Municipal,C,Mixed
asanteman-senior-high,Asanteman Senior High,Ashanti,Kumasi Metro,B,Mixed
ashiaman-tech-voc-inst,Ashiaman Technical Institute,Greater Accra,Ashiaman,C,Mixed
assin-manso-senior-high,Assin Manso Senior High,Central,Assin South,C,Mixed
asuom-senior-high,Asuom Senior High,Eastern,Kwaebibirem,C,Mixed
atwima-kwanwoma-snr-high-tech,Atwima Kwanwoma Snr High/Tech,Ashanti,Atwima Kwanwoma,C,Mixed
ayanfuri-senior-high,Ayanfuri Senior High,Central,Upper Denkyira West,C,Mixed
baidoo-bonso-senior-high-tech,Baidoo Bonso Senior High/Tech,Western,Ahanta West,C,Mixed
bawku-tech-inst,Bawku Tech. Inst.,Upper East,Bawku,A,Mixed
baworo-technical-institute,Baworo Technical Institute,Ashanti,Ejisu Municipal,C,Mixed
berekum-presby-senior-high,Berekum Presby Senior High,Bono,Berekum Municipal,A,Mixed
bibiani-senior-high-tech,Bibiani Senior High/Tech.,Western North,Bibiani Anhwiaso Bekwai,C,Mixed
bolga-girls-senior-high,Bolga Girls Senior High,Upper East,Bolgatanga Municipal,A,Girls
bolga-sherigu-comm-senior-high,Bolga Sherigu Comm. Senior High,Upper East,Bolgatanga Municipal,C,Mixed
bolgatanga-central-technical-institute,Bolgatanga Central Technical Institute,Upper East,Bolgatanga Municipal,C,Mixed
bompeh-senior-high-tech,Bompeh Senior High./Tech,Western,Sekondi Takoradi,B,Mixed
bosomtwe-oyoko-comm-senior-high,Bosomtwe Oyoko Comm. Senior High,Ashanti,Bosomtwe,C,Mixed
c-y-o-tech-voc-inst,C.Y.O. Tech/Voc. Inst.,Volta,Kpando Municipal,C,Mixed
catholic-technical-institute,Catholic Technical Institute,Ashanti,Kumasi Metro,C,Mixed
dodowa-technical-institute,Dodowa Technical Institute,Greater Accra,Shai-Osudoku,C,Mixed
dwamena-akenten-senior-high,Dwamena Akenten Senior High,Ashanti,Offinso,B,Mixed
dzodze-penyi-senior-high,Dzodze Penyi Senior High,Volta,Ketu North,C,Mixed
e-p-c-mawuko-girls-senior-high,E.P.C. Mawuko Girls Senior High,Volta,Ho Municipal,B,Girls
effiduase-senior-high-com,Effiduase Senior High/Com,Ashanti,Sekyere East,C,Mixed
effiduase-senior-high-tech,Effiduase Senior High/Tech,Ashanti,Sekyere East,C,Mixed
ejisu-senior-high-tech,Ejisu Senior High/Tech,Ashanti,Ejisu Municipal,B,Mixed
ejisuman-senior-high,Ejisuman Senior High,Ashanti,Ejisu Municipal,C,Mixed
ejuraman-technical-institute,Ejuraman Technical Institute,Ashanti,Ejura Sekyedumase,C,Mixed
fomena-t-i-ahmad-senior-high,Fomena T.I. Ahmadiyya Senior High,Ashanti,Adansi North,B,Mixed
forces-senior-high-tech-burma-camp,"Forces Senior High/Tech, Burma Camp",Greater Accra,La Dade-Kotopon Municipal,B,Mixed
frafraha-comm-senior-high,Frafraha Comm. Senior High,Greater Accra,Adentan Municipal,C,Mixed
gratis-technical-institute-cape-coast,"GRATIS Technical Institute, Cape Coast",Central,Cape Coast,C,Mixed
gomoa-gyaman-senior-high,Gomoa Gyaman Senior High,Central,Gomoa Central,C,Mixed
gowrie-senior-high-tech,Gowrie Senior High/Tech.,Upper East,Bongo,C,Mixed
h-mount-sinai-senior-high,H'Mount Sinai Senior High School,Eastern,Akwapim North Municipal,C,Mixed
have-tech-inst,Have Tech. Inst.,Volta,Afadzto South,B,Mixed
holy-child-senior-high-school,Holy Child Senior High School,Upper West,Sisala East,C,Mixed
holy-family-senior-high,Holy Family Senior High,Upper West,Lambussie-Karni,C,Mixed
huni-valley-senior-high,Huni Valley Senior High,Western,Prestea Huni Valley,C,Mixed
j-a-kufuor-senior-high,J. A. Kufuor Senior High,Ashanti,Kumasi Metro,C,Mixed
j-e-a-mills-senior-high,J.E.A. Mills Senior High,Central,Ekumfi,C,Mixed
jachie-technical-institute,Jachie Technical Institute,Ashanti,Bosomtwe,C,Mixed
juaben-technical-institute,Juaben Technical Institute,Ashanti,Juaben Municipal,C,Mixed
kanda-technical-institute,Kanda Technical Institute,Greater Accra,Ayawaso East,C,Mixed
kasuliyili-senior-high,Kasuliyili Senior High,Northern,Tolon,C,Mixed
kofi-adjei-senior-high-tech,Kofi Adjei Senior High/Tech,Ashanti,Kwabre East,C,Mixed
kongo-senior-high,Kongo Senior High,Upper East,Nabdam,C,Mixed
krobea-asante-technical-vocational-inst,Krobea Asante Technical & Vocational Inst.,Ashanti,Sekyere East,B,Mixed
kwabeng-anglican-senior-high-tech,Kwabeng Anglican Senior High/Tech,Eastern,Atiwa West,B,Mixed
lamashegu-technical-institute,Lamashegu Technical Institute,Northern,Tamale Metro,C,Mixed
lashibi-comm-day,Lashibi Comm. Day,Greater Accra,Tema West Municipal,C,Mixed
lawra-senior-high,Lawra Senior High,Upper West,Lawra,A,Mixed
methodist-senior-high-sekondi,"Methodist Senior High, Sekondi",Western,Sekondi Takoradi,C,Mixed
methodist-senior-high-tech-biadan,"Methodist Senior High/Tech.,Biadan",Bono,Berekum Municipal,C,Mixed
methodist-technincal-institute,Methodist Technincal Institute,Ashanti,Kwadaso,B,Mixed
mpraeso-senior-high,Mpraeso Senior High,Eastern,Kwahu South,B,Mixed
nalerigu-technical-institute,Nalerigu Technical Institute,North East,East Mamprusi,C,Mixed
new-abirem-afosu-senior-high,New Abirem/Afosu Senior High,Eastern,Birim North,C,Mixed
new-juaben-senior-high-com,New Juaben Senior High/Com,Eastern,New Juaben South Municipal,B,Mixed
new-nsutam-senior-high-tech,New Nsutam Senior High/Tech,Eastern,Fanteakwa South Municipal,C,Mixed
ngleshie-amanfro-senior-high,Ngleshie Amanfro Senior High,Greater Accra,Ga South,C,Mixed
nima-technical-institute,Nima Technical Institute,Greater Accra,Ayawaso East,C,Mixed
nkawie-senior-high-tech,Nkawie Senior High/Tech,Ashanti,Atwima Nwabiagya,C,Mixed
nkoranza-senior-high-tech,Nkoranza Senior High/Tech,Bono East,Nkoranza South,B,Mixed
nungua-senior-high,Nungua Senior High,Greater Accra,Krowor,B,Mixed
nuru-ameen-islamic-senior-high-asewase,"Nuru-Ameen Islamic Senior High, Asewase",Ashanti,Kumasi Metro,B,Mixed
nyakrom-senior-high-tech,Nyakrom Senior High Tech,Central,Agona West,B,Mixed
odorgonno-senior-high,Odorgonno Senior High,Greater Accra,Ga Central Municipal,B,Mixed
ofoase-senior-high-tech,Ofoase Senior High/Tech,Ashanti,Asante Akim South,C,Mixed
osei-kyeretwie-senior-high,Osei Kyeretwie Senior High,Ashanti,Kumasi Metro,B,Mixed
osino-presby-senior-high-tech,Osino Presby Senior High/Tech.,Eastern,Fanteakwa South Municipal,C,Mixed
oti-boateng-senior-high,Oti Boateng Senior High,Eastern,New Juaben North Municipal,B,Mixed
oyoko-methodist-senior-high,Oyoko Methodist Senior High,Eastern,New Juaben North Municipal,B,Mixed
pilot-technical-institute,Pilot Technical Institute,Greater Accra,Ayawaso Central,A,Mixed
bompata-presby-senior-high,"Presby Senior High, Bompata",Ashanti,Asante Akim South,B,Mixed
presby-senior-high-tech-larteh,"Presby Senior High/Tech, Larteh",Eastern,Akwapim North Municipal,C,Mixed
queen-of-peace-senior-high-nadowli,"Queen of Peace Senior High, Nadowli",Upper West,Nadowli,B,Mixed
queens-girls-senior-high-sefwi-awhiaso,"Queens Girls' Senior High, Sefwi Awhiaso",Western North,Bibiani Anhwiaso Bekwai,C,Girls
s-d-a-senior-high-akim-sekyere,S.D.A. Senior High. Akim Sekyere,Eastern,Atiwa East Municipal,C,Mixed
sekondi-takoradi-technical-institute,Sekondi Takoradi Technical Institute,Western,Sekondi Takoradi,B,Mixed
sekondi-technical-institute,Sekondi Technical Institute,Western,Sekondi Takoradi,C,Mixed
sogakope-technial-institute,Sogakope Technial Institute,Volta,South Tongu Municipal,C,Mixed
st-augustine-s-senior-high-bogoso,"St. Augustine's Senior High, Bogoso",Western,Prestea Huni Valley,C,Mixed
st-catherine-girls-senior-high,St. Catherine Girls Senior High School,Volta,South Tongu Municipal,C,Girls
st-gregory-catholic-senior-high-school,St. Gregory Catholic Senior High School,Central,Gomoa East,C,Mixed
st-hubert-sem-senior-high-kumasi,"St. Hubert Sem/Senior High, Kumasi",Ashanti,Kumasi Metro,B,Boys
st-margaret-mary-snr-high-tech,St. Margaret Mary Snr.High/Tech,Greater Accra,Accra,B,Mixed
st-mary-s-technical-institute-asamankese,"St. Mary's Technical Institute, Asamankese",Eastern,West Akim,A,Mixed
st-mary-s-technical-institute-tamale,"St. Mary's Technical Institute,Tamale",Northern,Tamale Metro,C,Girls
st-paul-s-senior-high-asakraka-kwahu,"St. Paul's Senior High, Asakraka Kwahu",Eastern,Kwahu South,C,Mixed
suhum-technical-institute,Suhum Technical Institute,Eastern,Suhum,B,Mixed
sunyani-technical-institute,Sunyani Technical Institute,Bono,Sunyani,C,Mixed
tsc-technical-institute-half-assini,TSC Technical Institute - Half Assini,Western,Jomoro,C,Mixed
tsc-technical-institute-dormaa-ahenkro,"TSC Technical Institute, Dormaa Ahenkro",Bono,Dormaa Central,C,Mixed
takoradi-community-technical-institute,Takoradi Community Technical Institute,Western,Effia Kwesimintsim Municipal,C,Mixed
teshie-tech-instittute,Teshie Tech. Instittute,Greater Accra,Ledzokuku,C,Mixed
three-town-senior-high,Three Town Senior High,Volta,Ketu South,C,Mixed
tweneboa-kodua-senior-high,Tweneboa Kodua Senior High,Ashanti,Sekyere Kumawu,B,Mixed
w-b-m-zion-senior-high-old-tafo,"W.B.M. Zion Senior High, Old Tafo",Eastern,Abuakwa North Municipal,B,Mixed
wenchi-meth-senior-high,Wenchi Meth. Senior High,Bono,Wenchi,B,Mixed
winneba-senior-high,Winneba Senior High,Central,Effutu,B,Mixed
yilo-krobo-senior-high-com,Yilo Krobo Senior High/Com,Eastern,Yilo Krobo,C,Mixed
zion-senior-high,Zion Senior High,Volta,Anlo Keta,C,Mixed
zuarungu-senior-high,Zuarungu Senior High,Upper East,Bolgatanga East,C,Mixed
abakrampa-senior-high-tech,Abakrampa Senior High/Tech,Central,Abura Asebu Kwamankese,C,Mixed
